2005 11 0 4112 12144 1067 0 0
2005 12 0 4285 12817 1162 0 0
2006 1 0 4375 14474 1187 0 0
2006 2 0 5165 13659 1327 0 0
2006 3 0 5176 14084 1443 0 0
2006 4 0 5255 14581 1446 0 0
2006 5 0 5050 15628 1470 0 0
2006 6 0 5056 15810 1462 0 0
2006 7 0 5518 16068 1464 0 0
2006 8 0 5553 15649 1500 0 0
2006 9 0 5557 16212 1501 0 0
2006 10 0 5635 16514 1537 0 0
2006 11 0 5713 16279 1583 0 0
2006 12 0 6419 16371 1614 0 0
2007 1 0 6630 17646 1777 0 0
2007 2 0 6916 18576 1884 0 0
2007 3 0 6916 18941 1884 0 0
2007 4 0 6917 19017 2017 0 0
2007 5 0 6944 20981 2086 0 0
2007 6 0 6973 25241 2255 0 0
2007 7 0 7096 27413 2358 0 0
2007 8 0 11947 28371 2556 0 0
2007 9 0 12031 29365 2712 0 0
2007 10 0 12186 31796 2919 0 0
2007 11 0 12248 33088 3171 0 0
2007 12 0 14561 35874 3581 0 0
2008 1 0 14611 36558 3875 0 0
2008 2 0 14762 36424 4340 0 0
2008 3 0 15673 38394 4464 0 0
2008 4 0 15759 38508 4478 0 0
2008 5 0 15817 39397 4763 0 0
2008 6 0 17530 41853 4807 0 0
2008 7 0 17685 44125 5017 273 416
2008 8 0 17859 45332 5093 1377 7591
2008 9 0 17874 44876 5178 2630 7671
2008 10 0 18085 45641 5180 2636 7791
2008 11 0 19452 46470 5375 2669 8393
2008 12 0 19510 47082 5741 2671 8628
2009 1 0 19551 48552 5949 3166 9142
2009 2 0 19570 46208 6062 3166 9204
2009 3 0 20465 47744 7401 3912 9685
2009 4 0 21404 50424 8274 4122 10078
2009 5 0 21542 52380 8963 4126 10088
2009 6 0 21524 53744 9502 4245 10715
2009 7 0 22602 58219 10935 4322 11291
2009 8 0 23222 65960 12504 4525 11668
2009 9 0 23514 67590 13525 4650 11720
2009 10 0 23553 65054 14287 4846 11828
2009 11 0 24355 66768 13531 5323 11937
2009 12 0 24884 70942 14120 5400 12228
2010 1 0 25855 71482 14584 5430 12357
2010 2 0 25708 74149 14092 5673 12879
2010 3 0 26464 75996 14936 5956 13348
2010 4 0 27336 77515 15123 6593 13452
2010 5 0 27372 80843 14878 6759 14035
2010 6 0 27378 83352 14802 7077 14240
2010 7 0 27459 79436 14999 8264 15221
2010 8 0 27545 81829 15184 8430 15623
2010 9 0 26392 82715 16044 8432 16089
2010 10 0 26395 83125 16057 8479 16155
2010 11 0 26033 82637 16130 8474 16376
2010 12 0 25221 82622 16940 8627 16684
2011 1 0 25326 82599 17221 8773 16786
2011 2 0 25340 78040 18593 8919 17664
2011 3 0 25356 78438 18781 9026 17965
2011 4 0 25357 79170 18931 9031 17999
2011 5 0 25935 79237 18799 9026 17977
2011 6 0 24564 80568 19180 9764 19098
2011 7 0 24613 81593 19376 9809 19157
2011 8 0 24613 82307 19528 9856 19587
2011 9 0 24613 82615 19631 9904 18880
2011 10 0 25230 83710 20014 9905 18987
2011 11 0 25218 84349 20094 10105 19185
2011 12 0 25515 85457 20311 10149 19182
2012 1 0 25515 86474 21163 10183 19218
2012 2 0 25898 86853 21497 10339 19277
2012 3 0 25397 87888 21996 10339 19370
2012 4 0 25539 89985 22815 10325 20019
2012 5 0 25539 90369 23401 10325 20032
2012 6 0 25786 91655 24370 10342 20072
2012 7 0 25787 92133 24372 10440 20403
2012 8 0 25793 92297 24379 10440 20541
2012 9 0 25793 92387 24379 10592 20804
2012 10 0 25793 92512 26236 10623 20907
2012 11 0 25793 92856 26247 10899 21022
2012 12 0 25793 93306 26805 10899 21064
2013 1 0 25826 93430 26861 11679 21131
2013 2 0 26473 94264 27084 11743 21351
2013 3 0 26473 94210 27079 11780 21442
2013 4 0 26477 94345 27254 11813 21484
2013 5 0 26728 94510 27344 11813 21701
2013 6 0 26733 95206 27461 12142 21898
2013 7 0 17139 98163 27536 12262 21712
2013 8 0 17139 98162 27555 12346 21841
2013 9 0 17194 98198 27556 12192 21841
2013 10 0 17241 98925 27853 12208 21842
2013 11 0 17237 98903 27862 12201 21853
2013 12 0 17238 99232 28079 12218 21962
2014 1 0 17250 101156 28360 12234 21940
2014 2 0 17237 100101 27866 12219 21969
2014 3 0 17238 100234 27957 12218 21972
2014 4 0 17238 100283 28086 12267 22002
2014 5 0 17386 101932 28225 12219 21972
2014 6 0 16645 99514 28087 12418 22229
2014 7 0 16645 100334 28246 12461 22254
2014 8 0 16658 101425 28393 12779 22285
2014 9 0 16658 101614 28532 13018 23011
2014 10 0 16844 98234 28046 13241 23174
2014 11 0 16889 102626 28645 13881 23653
2014 12 0 16889 103689 28886 13905 23821
2015 1 0 16843 103095 28799 14184 23909
2015 2 0 16843 103198 28923 14192 23845
2015 3 0 16924 104895 29174 14393 23822
2015 4 0 16924 106089 29400 14551 23808
2015 5 0 16954 107088 29583 14205 23857
2015 6 0 17768 109216 31801 14278 24006
2015 7 0 17874 109635 31343 14841 24609
2015 8 0 17805 108811 31410 14946 24994
2015 9 0 18023 109807 30849 14941 24846
2015 10 0 18012 110166 30897 14941 24846
2015 11 0 17979 112191 31034 15271 25060
2015 12 0 17993 112509 31006 15386 25373
2016 1 0 17993 112761 31057 15417 25585
2016 2 0 17993 113884 31088 15418 25587
2016 3 0 18010 113952 30980 15461 25761
2016 4 0 18010 113657 31010 15414 25451
